contig_name,plasmid_score,chromosome_score,predicted_label
29,0.026770977,0.9788021,Chromosome
23,0.0019993817,0.99859816,Chromosome
26,0.006232225,0.99539053,Chromosome
80,0.52862835,0.81924903,Ambiguous
176,0.9910086,0.9994703,Ambiguous
99,0.5676055,0.47720027,Plasmid
84,0.30549142,0.6814121,Chromosome
77,0.6952252,0.3431372,Plasmid
100,0.8136396,0.21259005,Plasmid
125,0.9092375,0.1353434,Plasmid
127,0.40115935,0.6620119,Chromosome
78,0.23173621,0.78085005,Chromosome
66,0.37232602,0.6679909,Chromosome
56,0.20363331,0.8335751,Chromosome
174,0.6663533,0.93295467,Ambiguous
88,0.99999964,5.605252e-05,Plasmid
172,1.0,2.451022e-05,Plasmid
107,1.0,0.00010392931,Plasmid
65,0.21986233,0.80274737,Chromosome
8,7.7689314e-05,0.9999391,Chromosome
71,0.04087259,0.9657708,Chromosome
134,0.7391621,0.94391847,Ambiguous
135,0.7058666,0.9696428,Ambiguous
63,0.11842541,0.9119073,Chromosome
58,0.040589046,0.9739618,Chromosome
62,0.67737454,0.36526278,Plasmid
128,0.8901721,0.7274946,Ambiguous
171,0.9571392,0.62882316,Ambiguous
170,0.9188376,0.4507356,Plasmid
116,0.7051123,0.99943227,Ambiguous
67,0.6904063,0.37692723,Plasmid
103,0.5889912,0.5291769,Ambiguous
36,0.0048810933,0.9926939,Chromosome
46,0.02955357,0.9578024,Chromosome
93,0.2342962,0.8098037,Chromosome
105,0.044867385,0.99943703,Chromosome
32,0.013072415,0.99077356,Chromosome
25,0.0022642068,0.9972185,Chromosome
11,0.0008571665,0.9993692,Chromosome
21,0.00057057204,0.9996525,Chromosome
22,0.0011775106,0.9991184,Chromosome
130,0.6821516,0.88462234,Ambiguous
68,0.17723988,0.84924364,Chromosome
44,0.028131958,0.98038024,Chromosome
181,0.8249776,0.7328164,Ambiguous
184,0.95316947,0.6108527,Ambiguous
102,0.5786664,0.9259025,Ambiguous
41,0.20325439,0.8309827,Chromosome
43,0.20622143,0.8467948,Chromosome
79,0.2696352,0.75309557,Chromosome
146,0.6773574,0.38652185,Plasmid
120,0.9184213,0.10253321,Plasmid
89,0.9553537,0.066196226,Plasmid
106,0.91146046,0.14159699,Plasmid
92,0.5191411,0.55971974,Ambiguous
147,0.85895765,0.20207456,Plasmid
121,0.71567655,0.9962843,Ambiguous
150,0.8979956,0.36883438,Plasmid
153,0.4330175,0.5903704,Chromosome
111,0.4706254,0.97944313,Chromosome
167,0.03562128,0.9888453,Chromosome
149,0.107789874,0.9222213,Chromosome
148,0.9583418,0.52438736,Ambiguous
95,0.4382361,0.6429229,Chromosome
141,0.2245285,0.7232985,Chromosome
57,0.46639964,0.5320998,Chromosome
156,0.024256723,0.9899889,Chromosome
14,0.00030698586,0.99980885,Chromosome
115,0.03630681,0.9987721,Chromosome
15,0.00030231467,0.99956304,Chromosome
31,0.005307158,0.99682707,Chromosome
42,0.0038555705,0.99708444,Chromosome
104,0.24571554,0.82213134,Chromosome
51,0.79886377,0.21832548,Plasmid
158,0.2360172,0.8460758,Chromosome
9,5.6807066e-06,0.99999666,Chromosome
69,0.8064463,0.2993513,Plasmid
152,0.717081,0.9587461,Ambiguous
38,0.016553488,0.9891717,Chromosome
6,0.00021176336,0.99983084,Chromosome
55,0.02484019,0.9799693,Chromosome
159,0.78662145,0.84122145,Ambiguous
91,0.6535931,0.43768156,Plasmid
94,0.72693247,0.3722917,Plasmid
18,0.0019542128,0.9986203,Chromosome
64,0.12703963,0.8803377,Chromosome
17,0.00871355,0.99231756,Chromosome
61,0.29321605,0.77477956,Chromosome
101,0.4109912,0.9646013,Chromosome
10,0.00061294966,0.99962676,Chromosome
13,0.00047418504,0.9996388,Chromosome
97,0.42456356,0.57558656,Chromosome
137,0.018955836,0.9963464,Chromosome
164,0.9493495,0.07788485,Plasmid
142,0.36768073,0.9701608,Chromosome
3,8.706159e-06,0.9999858,Chromosome
70,0.23842262,0.83163285,Chromosome
133,0.3827871,0.6474133,Chromosome
76,0.15115897,0.85511327,Chromosome
53,0.13645132,0.8477918,Chromosome
52,0.09197524,0.91070634,Chromosome
136,0.7138549,0.8439542,Ambiguous
157,0.96251655,0.42417094,Plasmid
34,0.004893565,0.996289,Chromosome
28,0.04214254,0.92972714,Chromosome
83,0.7096836,0.3725717,Plasmid
72,0.999856,0.0052601537,Plasmid
33,0.012528634,0.9849539,Chromosome
7,6.446513e-05,0.9999529,Chromosome
151,0.7885635,0.34986413,Plasmid
